distinction_id,property_flg,price,yield,income,built_date,building_structure,rank,struture_flg,total_units,access,address,land_area,land_rights,footprint_square,plan,management_fee,management_flg,building_area,ratio,use_districts,current_state,delivery_time
577645vsf,BUL,"8,950万円",,,1997年1月,鉄筋コンクリート造4階建,4階建,RC造,---,JR常磐線 金町駅  徒歩7分 ,東京都葛飾区東金町6丁目,153.92m2 【46.56坪】, 所有権 ,,駐車場 3台,,,301.10m2【91.08坪】,60 ％ / 400 ％ ,準工業,空室,相談
588741gou,BUL,"8,950万円",,,1997年1月,鉄筋コンクリート造4階建,4階建,RC造,---,JR常磐線 金町駅  徒歩7分 ,東京都葛飾区東金町6,153.90m2 【46.55坪】, 所有権 ,,駐車場 3台,,,301.10m2【91.08坪】,60 ％ / 400 ％ ,準工業,空室,即時
604581164,BUL,"8,950万円",,,1997年1月,鉄筋コンクリート造4階建 総戸数 5戸,4階建,RC造,5戸,JR常磐線 金町駅  徒歩7分 ,東京都葛飾区東金町6丁目,153.92m2 【46.56坪】, 所有権 ,,駐車場 3台,,,301.10m2【91.08坪】1階 78.95m2 ／ 2階 ～ 3階 81.93m2 ／ 4階 58.29m2,60 ％ / 400 ％ ,準工業,空室,相談
583270sdn,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建 総戸数 14戸,2階建,木造,14戸,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町,214.73m2 【64.95坪】, 所有権 ,,1K×14戸 ,,,198.44m2【60.02坪】,60 ％ / 200 ％ ,第二種低住専,賃貸中（満室）,相談
583363oad,MAN,"9,800万円",8.49%,,1991年4月,鉄骨造4階建,4階建,S造,---,京成本線 お花茶屋駅  徒歩8分 京成本線 堀切菖蒲園駅  徒歩9分 ,東京都葛飾区東堀切1丁目,163.01m2 【49.31坪】（※私道：35.85m2あり）, 所有権 ,,,,,358.9m2【108.56坪】,60 ％ / 200 ％ ,第一種住居,賃貸中,相談
583377v2j,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建 総戸数 14戸,2階建,木造,14戸,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町7丁目,214.73m2 【64.95坪】, 所有権 ,,1K×14戸 ,,,198.44m2【60.02坪】,60 ％ / 200 ％ ,第二種低住専,賃貸中,相談
583790gjy,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建 総戸数 14戸,2階建,木造,14戸,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町7丁目,214.73m2 【64.95坪】, 所有権 ,,1K×14戸 ,,,198.44m2【60.02坪】,60 ％ / 200 ％ ,第二種低住専,賃貸中,相談
586533bns,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建 総戸数 14戸,2階建,木造,14戸,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町7,214.73m2 【64.95坪】, 所有権 ,,1K×14戸 ,,,198.44m2【60.02坪】1～ 2階 99.22m2,60 ％ / 200 ％ ,第二種低住専,賃貸中（満室）,相談
5866825cu,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建,2階建,木造,---,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町,214.73m2 【64.95坪】, 所有権 ,,,,,198.44m2【60.02坪】,60 ％ / 200 ％ ,第二種低住専,賃貸中,相談
589029oie,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建 総戸数 14戸,2階建,木造,14戸,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町7-2-16,214.73m2 【64.95坪】, 所有権 ,,1K×14戸 ,,,198.44m2【60.02坪】1階 99.22m2 ／ 2階 99.22m2,60 ％ / 200 ％ ,第二種低住専,賃貸中,相談
591384zyd,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建 総戸数 14戸,2階建,木造,14戸,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町7丁目,214.73m2 【64.95坪】, 所有権 ,,1K×14戸 ,,,198.44m2【60.02坪】,60 ％ / 200 ％ ,第二種低住専,賃貸中（満室）,相談
599597ycn,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建 総戸数 14戸,2階建,木造,14戸,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町,214.73m2 【64.95坪】, 所有権 ,,1K×14戸 ,,,198.44m2【60.02坪】,60 ％ / 200 ％ ,第二種低住専,賃貸中（満室）,相談
605370grp,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建 総戸数 14戸,2階建,木造,14戸,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町7丁目,214.73m2 【64.95坪】, 所有権 ,,1K×14戸 ,,,198.44m2【60.02坪】,60 ％ / 200 ％ ,第二種低住専,賃貸中（満室）,相談
606108twq,APT,"9,800万円",7.50%,735.6 万円 / 61.3万円,1990年8月,木造2階建 総戸数 14戸,2階建,木造,14戸,JR常磐線 金町駅  徒歩15分 ,東京都葛飾区東金町7丁目,214.73m2 【64.95坪】, 所有権 ,,1K×14戸 ,,,198.44m2【60.02坪】,60 ％ / 200 ％ ,第二種低住専,賃貸中,相談
602304rch,APT,"9,900万円",7.39%,732 万円 / 61.0万円,2012年2月,木造3階建 総戸数 12戸,3階建,木造,12戸,京成押上線 四つ木駅  徒歩4分 ,東京都葛飾区四つ木1-22-6,75.25m2 【22.76坪】, 所有権 東京都,,1R×12戸 ,,,163.65m2【49.50坪】1階 52.61m2 ／ 2階 58.26m2 ／ 3階 52.78,80 ％ / 400 ％ ,商業,賃貸中,相談
581127jvz,APT,"1億1,600万円",7.11%,825.6 万円 / 68.8万円,2008年9月,木造2階建,2階建,木造,---,千代田線 金町駅  徒歩17分 ,東京都葛飾区南水元,265.11m2 【80.19坪】, 所有権 ,,,,,242.02m2【73.21坪】,60 ％ / 200 ％ ,第一種中高住専,賃貸中,相談
583505bwk,APT,"1億1,600万円",7.11%,825.6 万円 / 68.8万円,2008年9月,木造2階建 総戸数 12戸,2階建,木造,12戸,JR常磐線 金町駅  徒歩17分 ,東京都葛飾区南水元4丁目,265.11m2 【80.19坪】, 所有権 ,,1K×12戸 ,,,242.02m2【73.21坪】,60 ％ / 200 ％ ,第一種中高住専,賃貸中,相談
583800lb9,APT,"1億1,600万円",7.11%,825.6 万円 / 68.8万円,2008年9月,木造2階建 総戸数 12戸,2階建,木造,12戸,JR常磐線 金町駅  徒歩17分 ,東京都葛飾区南水元4丁目,265.11m2 【80.19坪】, 所有権 ,,1K×12戸 ,,,242.02m2【73.21坪】,60 ％ / 200 ％ ,第一種中高住専,賃貸中,相談
585401aja,APT,"1億1,600万円",7.11%,825.6 万円 / 68.8万円,2008年9月,木造2階建 総戸数 12戸,2階建,木造,12戸,JR常磐線 金町駅  徒歩17分 ,東京都葛飾区南水元,265.11m2 【80.19坪】, 所有権 ,,1K×12戸 ,,,242.02m2【73.21坪】,60 ％ / 200 ％ ,第一種中高住専,賃貸中,相談
6000880ta,APT,"1億1,930万円",7.00%,835.2 万円 / 69.6万円,2014年9月,木造2階建 総戸数 12戸,2階建,木造,12戸,京成本線 お花茶屋駅  徒歩13分 京成本線 堀切菖蒲園駅  徒歩16分 ,東京都葛飾区東堀切2丁目,233.47m2 【70.62坪】, 所有権 ,,1K×12戸 ★バス・トイレ別 ,,,259m2【78.34坪】,60 ％ / 300 ％ ,第一種住居,,完成後引渡し
6037745hm,APT,"1億1,930万円",7.00%,835.2 万円 / 69.6万円,2014年9月,木造2階建 総戸数 12戸,2階建,木造,12戸,京成本線 お花茶屋駅  徒歩13分 京成本線 堀切菖蒲園駅  徒歩16分 ,東京都葛飾区東堀切2-12-2,233.47m2 【70.62坪】, 所有権 ,,1K×12戸 ,,,259m2【78.34坪】,60 ％ / 300 ％ ,第一種住居,,相談
603906ury,APT,"1億1,930万円",7.00%,835.2 万円 / 69.6万円,2014年9月,木造2階建 総戸数 12戸,2階建,木造,12戸,京成本線 お花茶屋駅  徒歩13分 京成本線 堀切菖蒲園駅  徒歩16分 ,東京都葛飾区東堀切2-12-2,233.47m2 【70.62坪】, 所有権 ,,1K×12戸 ,,,259m2【78.34坪】,60 ％ / 300 ％ ,第一種住居,一括借上（契約済み）,相談
579491tmy,BUL,"1億2,000万円",8.52%,"1,022.4 万円 / 85.2万円",2001年1月,鉄骨造3階建 総戸数 3戸,3階建,S造,3戸,JR総武線 小岩駅  徒歩7分 京成本線 京成小岩駅  徒歩10分 ,東京都葛飾区鎌倉1,305.11m2 【92.29坪】, 所有権 ,,駐車場 10台,,,400.8m2【121.24坪】,60 ％ / 200 ％ ,第一種住居,賃貸中,相談
5799521sc,BUL,"1億2,000万円",8.22%,986.4 万円 / 82.2万円,2001年1月,鉄骨造3階建 総戸数 3戸,3階建,S造,3戸,JR総武線 小岩駅  徒歩7分 ,東京都葛飾区鎌倉1-15-1,305.11m2 【92.29坪】, 所有権 ,,店舗・事務所×3戸 駐車場 10台,,,400.8m2【121.24坪】,60 ％ / 200 ％ ,第一種住居,賃貸中,相談
580440ncz,BUL,"1億2,000万円",8.52%,"1,022.4 万円 / 85.2万円",2001年1月,鉄骨造3階建 総戸数 3戸,3階建,S造,3戸,JR総武線 小岩駅  徒歩7分 京成本線 京成小岩駅  徒歩10分 ,東京都葛飾区鎌倉1丁目,305.11m2 【92.29坪】, 所有権 ,,事務所×3戸 ,,,400.80m2【121.24坪】,60 ％ / 200 ％ ,第一種住居,賃貸中,相談
